0;0,00
0,1;1,65
0,2;3,86
0,3;5,91
0,4;8,46
0,5;10,89
0,6;12,83
0,7;15,02
0,8;17,58
0,9;19,36
1;22,76
1,1;24,41
1,2;27,08
1,3;31,43
1,4;32,52
1,5;35,76
1,6;39,08
1,7;41,44
1,8;44,05
1,9;46,48
2;50,28
2,1;51,36
2,2;55,76
2,3;57,32
2,4;62,06
2,5;65,56
2,6;67,66
2,7;71,98
2,8;74,51
2,9;76,61
3;80,02
3,1;83,27
3,2;88,04
3,3;90,03
3,4;94,06
3,5;97,17
3,6;100,92
3,7;104,10
3,8;107,93
3,9;111,60
4;114,49
4,1;117,54
4,2;122,12
4,3;125,53
4,4;128,77
4,5;132,70
4,6;136,13
4,7;139,50
4,8;143,85
4,9;146,59
5;150,98
5,1;154,38
5,2;158,54
5,3;162,51
5,4;166,38
5,5;171,32
5,6;174,32
5,7;176,63
5,8;181,18
5,9;185,38
6;188,93
6,1;192,96
6,2;197,83
6,3;200,70
6,4;204,65
6,5;209,22
6,6;214,29
6,7;217,46
6,8;221,26
6,9;225,71
7;229,19
7,1;233,18
7,2;237,56
7,3;241,95
7,4;245,43
7,5;249,97
7,6;253,88
7,7;258,16
7,8;262,79
7,9;265,96
8;270,70
8,1;274,96
8,2;278,26
8,3;282,64
8,4;287,51
8,5;292,16
8,6;295,87
8,7;301,00
8,8;304,86
8,9;308,56
9;313,53
9,1;317,07
9,2;322,34
9,3;326,08
9,4;330,72
9,5;335,69
9,6;340,17
9,7;344,06
9,8;348,63
9,9;353,22
10;357,92
10,1;361,19
10,2;367,16
10,3;370,34
10,4;375,97
10,5;379,71
10,6;384,35
10,7;389,66
10,8;393,88
10,9;399,41
11;404,38
11,1;408,75
11,2;413,88
11,3;419,24
11,4;424,07
11,5;429,01
11,6;433,33
11,7;438,19
11,8;442,97
11,9;447,75
12;452,66
12,1;457,69
12,2;463,61
12,3;467,45
12,4;472,60
12,5;477,26
12,6;483,74
12,7;487,68
12,8;492,47
12,9;497,49
13;503,29
13,1;509,30
13,2;513,22
13,3;519,22
13,4;524,25
13,5;528,78
13,6;534,52
13,7;540,68
13,8;544,53
13,9;550,94
14;555,73
14,1;562,17
14,2;566,48
14,3;571,89
14,4;577,99
14,5;582,87
14,6;589,10
14,7;595,00
14,8;599,18
14,9;604,88
15;611,53
15,1;617,41
15,2;621,66
15,3;627,91
15,4;633,45
15,5;639,03
15,6;645,21
15,7;650,19
15,8;656,10
15,9;661,25
16;667,62
16,1;673,55
16,2;679,83
16,3;685,37
16,4;691,41
16,5;697,54
16,6;702,52
16,7;708,96
16,8;715,44
16,9;720,98
17;727,79
17,1;734,33
17,2;739,99
17,3;746,45
17,4;752,19
17,5;758,68
17,6;764,22
17,7;770,73
17,8;776,77
17,9;782,66
18;789,94
18,1;796,81
18,2;802,56
18,3;808,63
18,4;815,06
18,5;822,09
18,6;828,61
18,7;835,33
18,8;842,50
18,9;849,41
19;855,06
19,1;862,47
19,2;868,74
19,3;874,92
19,4;881,93
19,5;889,73
19,6;895,45
19,7;902,23
19,8;909,23
19,9;916,79
